ED Name,Display name,Description,unit_parsed,unit_markdown,Raczka,Dietze,Ran
c2n_fineroot,C:N root,C:N ratio in fine roots,,unitless (mass ratio),,,yes
c2n_leaf,C:N leaf,C:N ratio in leaves,,unitless (mass ratio),,,yes
clumping_factor,Clumping,Canopy clumping factor,"""0 - 1""",,,,yes
f_labile,F. labile,Fraction of litter that goes to labile (fast) C pool,"""0 - 1""",unitless (0-1),Labile carbon,,yes
fineroot2leaf,Root:leaf,Ratio of fine root to leaf biomass (`q`),,unitless (mass ratio),Root/Leaf carbon,Leaf:Root,yes
growth_resp_factor,Growth resp.,Fraction of daily C gain lost to growth respiration,"""0 - 1""",unitless (0-1),Growth respiration,Growth Resp,yes
leaf_reflect_nir,Refl. (NIR),Leaf reflectance in NIR range (700-2500 nm),"""0 - 1""",unitless (0-1),,,yes
leaf_reflect_vis,Refl. (VIS),Leaf reflectance in visible range (400-700 nm),"""0 - 1""",unitless (0-1),,,yes
leaf_respiration_rate_m2,Leaf resp.,Ratio of leaf respiration to Vcmax (Rd0),,???,Leaf respiration*,Leaf Resp*,yes
leaf_trans_nir,Trans. (NIR),Leaf transmittance in NIR range (700-2500 nm),"""0 - 1""",unitless (0-1),,,yes
leaf_trans_vis,Trans. (VIS),Leaf transmittance in visible range (400-700 nm),"""0 - 1""",unitless (0-1),,,yes
leaf_turnover_rate,Leaf turnover,Temperature dependent rate of leaf loss (conifer only),years ^ -1,year^-1^,,,yes
repro_min_h,Min. height, Minimum height for plant reproduction,m,m,Minimum height,,yes
mort1,Mort. C rate,Time-scale at which low-carbon balance plants die,years ^ -1,years^-1^,Carbon balance mortality,Mortality,yes
mort2,Mort. C bal.,C balance ratio at which mortality rapidly increases,,unitless (mass ratio),,,yes
mort3,Mort. bg. rate,Density-independent (background) mortality rate,years ^ -1,year^-1^,Background mortality,,yes
nonlocal_dispersal,Dispersal,Proportion of dispersal that is global,"""0 - 1""",unitless (0-1),,,yes
orient_factor,Leaf orient.,Leaf angle orientation distribution,"""-1 - 1""",unitless (-1-1),,,yes
quantum_efficiency,Quant. eff.,Farquhar model parameter (TODO),,mol CO~2~ (mol photons)^-1^,Quantum efficiency,Quantum Eff.,yes
r_fract,Repro. C frac.,Fraction of C storage to seed reproduction,,unitless,Recruitment carbon,Reproduction?,yes
root_respiration_rate,Root resp.,Root respiration rate at 15 °C (`root_respiration_rate/factor`),mu*mol ~ CO_2 (kg~fineroot)^-1,μmol CO~2~ (kg fineroot)^-1^,Root respiration,,yes
root_turnover_rate,Root turnover,Temperature dependent rate of fine root loss,years ^ -1,year^-1^,Root turnover,Root turnover,yes
seedling_mortality,Mort. seedling,Proportion of seed that dies and goes to litter pool,"""0 - 1""",unitless (0-1),,,yes
SLA,SLA,Specific leaf area,m^2 ~ (kg*C)^-1,m^2^ kg^-1^ C,Specific leaf area,SLA,yes
stomatal_slope,Stomatal slope,Slope between _A_ and stomatal conductance (Leuning),"""0 - 1""",unitless,Stomatal sensitivity,Stomatal Slope,yes
Vcmax,Vcmax,Maximum rate of CO~2~ carboxylation at 15 °C (`Vm0`),mu*mol ~ m^-2 s^-1,μmol m^-2^ s^-1^,Vcmax,Vcmax,yes
water_conductance,Water cond.,Water availability factor,m^-2 ~ a^-1 ~ (kg*C~root)^-1,m^-2^ a^-1^ (kg C root)^-1^,Soil-plant water conductance,Water Cond,yes
leaf_width,Leaf width,Mean leaf width (for boundary layer conductance),m,m,,,no
Vm_low_temp,Tmin,Minimum temperature for photosynthesis,degree * C,°C,,,no
